Nom;ISIN;Type;Volume;Prix;URL
Maisons du Monde;FR0013153541;Action;50362;2.280;/fr/marche/euronext-paris/maisons-du-monde-FR0013153541-MDM-EUR-XPAR/seance
SMCP S.A;FR0013214145;Action;110877;2.820;/fr/marche/euronext-paris/smcp-s-a-FR0013214145-SMCP-EUR-XPAR/seance
Virbac;FR0000031577;Action;2848;292.95;/fr/marche/euronext-paris/virbac-FR0000031577-VIRP-EUR-XPAR/seance
Aramis Group;FR0014003U94;Action;25948;7.18;/fr/marche/euronext-paris/aramis-group-FR0014003U94-ARAMI-EUR-XPAR/seance
Hydrogène de France;FR0014003VY4;Action;12808;5.00;/fr/marche/euronext-paris/hydrogene-de-france-FR0014003VY4-HDF-EUR-XPAR/seance
Hydrogène de France;FR0014003VY4;Action;12808;5.00;/fr/marche/euronext-paris/hydrogene-de-france-FR0014003VY4-HDF-EUR-XPAR/seance
Amundi PEA Asie Paci...;FR0011869312;Tracker;6787;16.697;/fr/marche/euronext-paris/amundi-pea-asie-pacifique-msc-FR0011869312-PAEJ-EUR-XPAR/seance
Wavestone;FR0013357621;Action;6462;44.50;/fr/marche/euronext-paris/wavestone-FR0013357621-WAVE-EUR-XPAR/seance
Figeac Aéro;FR0011665280;Action;6434;7.80;/fr/marche/euronext-paris/figeac-aero-FR0011665280-FGA-EUR-XPAR/seance
Séché Environnement ...;FR0000039109;Action;4933;73.0;/fr/marche/euronext-paris/seche-environnement-sa-FR0000039109-SCHP-EUR-XPAR/seance
Adocia;FR0011184241;Action;95035;3.400;/fr/marche/euronext-paris/adocia-FR0011184241-ADOC-EUR-XPAR/seance
Bureau Veritas SA;FR0006174348;Action;910152;25.78;/fr/marche/euronext-paris/bureau-veritas-sa-FR0006174348-BVI-EUR-XPAR/seance
Guerbet;FR0000032526;Action;13668;19.78;/fr/marche/euronext-paris/guerbet-FR0000032526-GBT-EUR-XPAR/seance
Rallye;FR0000060618;Action;-;0.0442;/fr/marche/euronext-paris/rallye-FR0000060618-RAL-EUR-XPAR/seance
MedinCell S.A.;FR0004065605;Action;41627;12.84;/fr/marche/euronext-paris/medincell-s-a-FR0004065605-MEDCL-EUR-XPAR/seance
Sopra Steria Group;FR0000050809;Action;32357;165.4;/fr/marche/euronext-paris/sopra-steria-group-FR0000050809-SOP-EUR-XPAR/seance
La Française de l'En...;FR0013030152;Action;14568;25.50;/fr/marche/euronext-paris/la-francaise-de-l-energie-FR0013030152-FDE-EUR-XPAR/seance
ID Logistics Group;FR0010929125;Action;6896;336.0;/fr/marche/euronext-paris/id-logistics-group-FR0010929125-IDL-EUR-XPAR/seance
Manitou Group;FR0000038606;Action;31314;16.76;/fr/marche/euronext-paris/manitou-group-FR0000038606-MTU-EUR-XPAR/seance
Bastide Le Confort M...;FR0000035370;Action;3710;25.35;/fr/marche/euronext-paris/bastide-le-confort-medical-FR0000035370-BLC-EUR-XPAR/seance
WENDEL;FR0000121204;Action;41380;80.25;/fr/marche/euronext-paris/wendel-FR0000121204-MF-EUR-XPAR/seance
HighCo;FR0000054231;Action;13719;3.05;/fr/marche/euronext-paris/highco-FR0000054231-HCO-EUR-XPAR/seance
Ipsen;FR0010259150;Action;117095;94.55;/fr/marche/euronext-paris/ipsen-FR0010259150-IPN-EUR-XPAR/seance
Memscap;FR0010298620;Action;12838;3.520;/fr/marche/euronext-paris/memscap-FR0010298620-MEMS-EUR-XPAR/seance
Jacquet Metals;FR0000033904;Action;11614;18.60;/fr/marche/euronext-paris/jacquet-metals-FR0000033904-JCQ-EUR-XPAR/seance
LNA Santé;FR0004170017;Action;1263;22.3;/fr/marche/euronext-paris/lna-sante-FR0004170017-LNA-EUR-XPAR/seance
GL events;FR0000066672;Action;15388;18.84;/fr/marche/euronext-paris/gl-events-FR0000066672-GLO-EUR-XPAR/seance
Forsee Power;FR0014005SB3;Action;186542;0.682;/fr/marche/euronext-paris/forsee-power-FR0014005SB3-FORSE-EUR-XPAR/seance
PEUGEOT INVEST;FR0000064784;Action;7015;63.6;/fr/marche/euronext-paris/peugeot-invest-FR0000064784-PEUG-EUR-XPAR/seance
Exosens;FR001400Q9V2;Action;40682;30.45;/fr/marche/euronext-paris/exosens-FR001400Q9V2-EXENS-EUR-XPAR/seance
Robertet;FR0000039091;Action;393;810.0000;/fr/marche/euronext-paris/robertet-FR0000039091-RBT-EUR-XPAR/seance
JCDECAUX SE;FR0000077919;Action;179139;14.35;/fr/marche/euronext-paris/jcdecaux-se-FR0000077919-DEC-EUR-XPAR/seance
THEAM EASYETF BNP PA...;FR0013041530;Tracker;54279;17.1859;/fr/marche/euronext-paris/theam-easyetf-bnp-paribas-easy-FR0013041530-ESEH-EUR-XPAR/seance
LUMIBIRD;FR0000038242;Action;2956;9.00;/fr/marche/euronext-paris/lumibird-FR0000038242-LBIRD-EUR-XPAR/seance
Avenir Telecom;FR001400CFI7;Action;1605336;0.0536;/fr/marche/euronext-paris/avenir-telecom-FR001400CFI7-AVT-EUR-XPAR/seance
IDI;FR0000051393;Action;705;70.2;/fr/marche/euronext-paris/idi-FR0000051393-IDIP-EUR-XPAR/seance
Amundi STOXX Europe ...;LU1834983477;Tracker;39678;37.154;/fr/marche/euronext-paris/amundi-stoxx-europe-600-banks-LU1834983477-BNK-EUR-XPAR/seance
Amundi PEA S&P US In...;FR0011869270;Tracker;931;32.890;/fr/marche/euronext-paris/amundi-pea-s-p-us-industrials-FR0011869270-PDJE-EUR-XPAR/seance
Plastiques du Val-de...;FR0013252186;Action;23227;1.090;/fr/marche/euronext-paris/plastiques-du-val-de-loire-FR0013252186-PVL-EUR-XPAR/seance
Waga Energy;FR0012532810;Action;30334;11.80;/fr/marche/euronext-paris/waga-energy-FR0012532810-WAGA-EUR-XPAR/seance
Vetoquinol SA;FR0004186856;Action;4005;75.4;/fr/marche/euronext-paris/vetoquinol-sa-FR0004186856-VETO-EUR-XPAR/seance
NRJ GROUP;FR0000121691;Action;4205;6.58;/fr/marche/euronext-paris/nrj-group-FR0000121691-NRG-EUR-XPAR/seance
Aubay;FR0000063737;Action;3314;42.55;/fr/marche/euronext-paris/aubay-FR0000063737-AUB-EUR-XPAR/seance
NEURONES;FR0004050250;Action;3385;44.90;/fr/marche/euronext-paris/neurones-FR0004050250-NRO-EUR-XPAR/seance
Artmarket.com;FR0000074783;Action;1306;3.3400;/fr/marche/euronext-paris/artmarket-com-FR0000074783-PRC-EUR-XPAR/seance
Xilam Animation;FR0004034072;Action;1028;1.840;/fr/marche/euronext-paris/xilam-animation-FR0004034072-XIL-EUR-XPAR/seance
ABIONYX Pharma SA;FR0012616852;Action;35631;1.160;/fr/marche/euronext-paris/abionyx-pharma-sa-FR0012616852-ABNX-EUR-XPAR/seance
SoLocal Group;FR001400SA10;Action;4876;2.6300;/fr/marche/euronext-paris/solocal-group-FR001400SA10-LOCAL-EUR-XPAR/seance
Amundi DAX III UCITS...;LU0252633754;Tracker;29260;186.98;/fr/marche/euronext-paris/amundi-dax-iii-ucits-etf-acc-LU0252633754-DAX-EUR-XPAR/seance
Haulotte Group;FR0000066755;Action;11384;2.70;/fr/marche/euronext-paris/haulotte-group-FR0000066755-PIG-EUR-XPAR/seance
MULTI UNITS LUXEMBOU...;LU1834988781;Tracker;472;25.195;/fr/marche/euronext-paris/multi-units-luxembourg-LU1834988781-TRV-EUR-XPAR/seance
Ekinops;FR0011466069;Action;80300;3.180;/fr/marche/euronext-paris/ekinops-FR0011466069-EKI-EUR-XPAR/seance
Eurazeo SE;FR0000121121;Action;102243;55.75;/fr/marche/euronext-paris/eurazeo-se-FR0000121121-RF-EUR-XPAR/seance
SRP Groupe;FR0013006558;Action;20484;0.638;/fr/marche/euronext-paris/srp-groupe-FR0013006558-SRP-EUR-XPAR/seance
Abivax;FR0012333284;Action;90377;4.970;/fr/marche/euronext-paris/abivax-FR0012333284-ABVX-EUR-XPAR/seance
Amundi PEA MSCI USA ...;LU1681042864;Tracker;835;572.7614;/fr/marche/euronext-paris/amundi-pea-msci-usa-esg-leader-LU1681042864-CU2-EUR-XPAR/seance
SAMSE;FR0000060071;Action;148;137.0;/fr/marche/euronext-paris/samse-FR0000060071-SAMS-EUR-XPAR/seance
Aperam S.A.;LU0569974404;Action;88882;25.16;/fr/marche/euronext-amsterdam/aperam-s-a-LU0569974404-APAM-EUR-XAMS/seance
AMUNDI ASSET MANAGEM...;FR0011871136;Tracker;40676;18.799;/fr/marche/euronext-paris/amundi-asset-management-sa-FR0011871136-PSPH-EUR-XPAR/seance
AKWEL;FR0000053027;Action;109112;7.26;/fr/marche/euronext-paris/akwel-FR0000053027-AKW-EUR-XPAR/seance
AMUNDI ETF MSCI EMU ...;FR0010717090;Tracker;726;153.52;/fr/marche/euronext-paris/amundi-etf-msci-emu-high-divid-FR0010717090-CD8-EUR-XPAR/seance
Amundi STOXX Europe ...;LU1834983550;Tracker;4928;71.831;/fr/marche/euronext-paris/amundi-stoxx-europe-600-basic-LU1834983550-BRES-EUR-XPAR/seance
BALYO;FR0013258399;Action;10794;0.352;/fr/marche/euronext-paris/balyo-FR0013258399-BALYO-EUR-XPAR/seance
LDC;FR001400SF56;Action;3487;71.9;/fr/marche/euronext-paris/ldc-FR001400SF56-LOUP-EUR-XPAR/seance
Lagardère S.A.;FR0000130213;Action;21473;19.40;/fr/marche/euronext-paris/lagardere-s-a-FR0000130213-MMB-EUR-XPAR/seance
